Style,Id
Contemporary,1
Modern,2
Minimalist,3
Industrial,4
Mid-Century Modern,5
Scandanavian,6
Traditional,7
Transitional,8
French Country,9
Bohemian,10
Rustic,11
Shabby Chic,12
Hollywood Glam,13
Coastal,14
